rank	gene	longname	N	nnei	nncd	nsil	nmis	nstp	nspl	nind	n	npat	nsite	pCV	pCL	pFN	p	q
135	DENR	density-regulated protein	625	34	0	0	1	0	0	0	1	1	1	2.590068e-02	NaN	NaN	2.590068e-02	1
136	CYP21A2	cytochrome P450, family 21, subfamily A, polypeptide 2	3045	58	0	1	3	0	0	0	3	3	3	4.049916e-03	1	7.370000e-01	2.636114e-02	1
137	SSH3	slingshot homolog 3 (Drosophila)	2519	23	1	1	1	0	2	0	3	3	3	4.057140e-03	1	5.160000e-01	2.640094e-02	1
138	C12orf77	chromosome 12 open reading frame 77	450	48	0	0	0	0	0	1	1	1	1	2.642355e-02	NaN	NaN	2.642355e-02	1
139	MBD5	methyl-CpG binding domain protein 5	4521	38	0	0	2	0	0	0	2	2	2	2.642926e-02	NaN	NaN	2.642926e-02	1
140	SLC25A3	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3	1243	19	0	0	0	1	0	0	1	1	1	2.701368e-02	NaN	NaN	2.701368e-02	1
141	TTC21B	tetratricopeptide repeat domain 21B	4063	16	0	0	3	0	0	0	3	3	3	1.681555e-02	1	1.760000e-01	2.702233e-02	1
142	LUC7L3	LUC7-like 3 (S. cerevisiae)	1339	32	0	0	4	0	0	0	4	3	4	4.171593e-03	1	9.950000e-01	2.702966e-02	1
143	SERPINB8	serpin peptidase inhibitor, clade B (ovalbumin), member 8	1160	41	0	0	2	0	0	0	2	2	2	4.240805e-03	1	8.890000e-01	2.740833e-02	1
144	OR10Z1	olfactory receptor, family 10, subfamily Z, member 1	941	505	0	0	3	0	0	0	3	3	3	2.923309e-02	1	1.300000e-01	2.771639e-02	1
145	PTPN12	protein tyrosine phosphatase, non-receptor type 12	2413	32	0	0	2	0	0	0	2	2	2	2.920515e-02	1	1.340000e-01	2.801199e-02	1
146	TXNDC16	thioredoxin domain containing 16	2795	1	0	0	1	0	1	0	2	2	2	2.855404e-02	1	3.700000e-02	2.826053e-02	1
147	APOF	apolipoprotein F	987	94	0	0	2	0	0	0	2	2	2	1.091137e-02	1	3.690000e-01	2.843784e-02	1
148	BRD8	bromodomain containing 8	4414	2	0	0	0	0	0	1	1	1	1	2.851622e-02	NaN	NaN	2.851622e-02	1
149	SPTAN1	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	7658	10	0	0	1	0	0	0	1	1	1	2.871122e-02	NaN	NaN	2.871122e-02	1
150	SERPINE2	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	1265	19	0	0	0	1	0	0	1	1	1	2.950269e-02	NaN	NaN	2.950269e-02	1
151	GOLIM4	golgi integral membrane protein 4	2151	17	0	0	2	1	0	0	3	3	3	6.946603e-03	1	5.610000e-01	2.957269e-02	1
152	PPFIBP1	PTPRF interacting protein, binding protein 1 (liprin beta 1)	3172	56	0	0	1	0	1	0	2	2	2	2.984237e-02	NaN	NaN	2.984237e-02	1
153	SYNM	synemin, intermediate filament protein	4709	47	0	0	2	0	0	0	2	2	2	1.628708e-01	1	2.600000e-02	3.001749e-02	1
154	SMG1	smg-1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)	11234	22	0	0	0	1	0	0	1	1	1	3.013307e-02	NaN	NaN	3.013307e-02	1
155	PA2G4	proliferation-associated 2G4, 38kDa	1807	62	0	0	0	1	0	0	1	1	1	3.025174e-02	NaN	NaN	3.025174e-02	1
156	AHCTF1	AT hook containing transcription factor 1	6970	20	0	0	2	0	0	0	2	2	2	8.749344e-02	1	3.200000e-02	3.049267e-02	1
157	AMPD1	adenosine monophosphate deaminase 1 (isoform M)	2407	48	0	0	2	0	0	0	2	2	2	4.854197e-03	1	1.240000e-01	3.071693e-02	1
158	PRKCH	protein kinase C, eta	2104	70	0	0	1	1	0	0	2	2	2	4.934329e-03	1	8.110000e-01	3.114321e-02	1
159	SH3TC2	SH3 domain and tetratricopeptide repeats 2	3931	42	0	0	0	0	1	0	1	1	1	3.129717e-02	NaN	NaN	3.129717e-02	1
160	CADM4	cell adhesion molecule 4	1201	85	0	0	0	1	0	0	1	1	1	3.207985e-02	NaN	NaN	3.207985e-02	1
161	ERN2	endoplasmic reticulum to nucleus signaling 2	3009	13	0	0	0	1	0	0	1	1	1	3.244825e-02	NaN	NaN	3.244825e-02	1
162	PRPF31	PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae)	1571	0	0	0	0	0	1	0	1	1	1	3.261483e-02	NaN	NaN	3.261483e-02	1
163	RNF5	ring finger protein 5	563	12	0	0	1	0	0	0	1	1	1	3.269990e-02	NaN	NaN	3.269990e-02	1
164	FAM129A	family with sequence similarity 129, member A	2839	44	0	0	1	0	1	0	2	2	2	2.179970e-02	1	1.870000e-01	3.282959e-02	1
165	RHPN2	rhophilin, Rho GTPase binding protein 2	2119	20	0	0	0	1	0	0	1	1	1	3.285212e-02	NaN	NaN	3.285212e-02	1
166	TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1	1223	79	1	0	0	0	1	0	1	1	1	3.296836e-02	NaN	NaN	3.296836e-02	1
167	WWC1	WW and C2 domain containing 1	3450	33	0	0	2	0	0	0	2	2	2	4.599243e-02	1	4.500000e-02	3.301528e-02	1
168	SIGLEC6	sialic acid binding Ig-like lectin 6	1423	79	0	0	3	0	0	0	3	3	3	8.365719e-03	1	3.090000e-01	3.370486e-02	1
169	CRTC1	CREB regulated transcription coactivator 1	2011	35	0	0	0	0	1	0	1	1	1	3.385789e-02	NaN	NaN	3.385789e-02	1
170	SIGLEC10	sialic acid binding Ig-like lectin 10	2134	20	0	0	2	0	0	0	2	2	2	1.205543e-02	1	4.030000e-01	3.447827e-02	1
171	TPM1	tropomyosin 1 (alpha)	1402	63	0	0	2	0	0	0	2	2	2	5.636039e-03	1	3.600000e-01	3.482268e-02	1
172	GCG	glucagon	563	326	0	0	2	0	0	0	2	2	2	1.768224e-02	1	3.080000e-01	3.502947e-02	1
173	BLK	B lymphoid tyrosine kinase	1565	35	0	0	1	0	0	0	1	1	1	3.548635e-02	NaN	NaN	3.548635e-02	1
174	C4orf19	chromosome 4 open reading frame 19	953	10	0	0	1	0	0	0	1	1	1	3.591143e-02	NaN	NaN	3.591143e-02	1
175	SKAP1	src kinase associated phosphoprotein 1	1128	29	0	0	1	0	0	0	1	1	1	3.605141e-02	NaN	NaN	3.605141e-02	1
176	PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma	239	46	0	0	1	0	0	0	1	1	1	3.661655e-02	NaN	NaN	3.661655e-02	1
177	WDR6	WD repeat domain 6	4383	23	0	0	1	1	0	0	2	2	2	6.000381e-03	1	8.750000e-01	3.669792e-02	1
